book_id,user_id,rating
1,25908.97,4.24
2,25341.24,4.21
3,24630.15,3.09
4,25644.38,4.46
5,23997.97,3.89
6,29096.2,4.09
7,21870.13,3.92
8,26180.27,3.83
9,24285.35,3.35
10,25089.68,4.18
11,24668.83,4.24
12,29397.23,3.79
13,26452.19,4.15
14,26423.6,3.86
15,23338.48,4.23
16,26436.98,3.98
17,23763.65,3.97
18,23356.3,4.16
19,25431.16,4.14
20,24078.11,3.71
21,24373.42,4.16
22,21926.37,3.73
23,21841.59,3.96
24,23874.42,4.21
25,24210.43,4.24
26,24649.3,3.44
27,24756.28,4.16
28,23626.85,3.91
29,22432.29,4.0
30,27041.73,3.82
31,22649.56,4.29
32,23584.4,3.95
33,25953.24,3.89
34,30932.33,2.77
35,25168.75,3.63
36,27203.71,4.27
37,22659.02,4.01
38,21832.33,3.83
39,26079.6,4.42
40,24506.2,3.41
41,27182.61,3.77
42,24127.89,4.13
43,23376.33,4.05
44,24070.02,3.21
45,24869.53,3.91
46,21160.64,3.9
47,26503.5,4.32
48,24744.1,4.15
49,19510.78,3.11
50,26484.83,4.26
51,31312.53,3.62
52,20014.79,3.09
53,27670.56,3.42
54,27511.1,3.99
55,23536.33,3.77
56,20968.85,3.16
57,23962.28,3.99
58,22635.94,3.91
59,21589.71,4.05
60,22907.7,3.82
61,26232.89,3.7
62,22340.92,3.8
63,23130.93,3.86
64,22506.19,3.75
65,23426.74,4.02
66,22874.14,4.14
67,21730.37,3.96
68,25853.95,3.91
69,26280.58,3.57
70,22545.8,4.15
71,23443.01,3.65
72,27283.55,3.95
73,22966.96,3.48
74,29963.14,3.98
75,21234.96,3.47
76,22453.17,3.82
77,26183.13,4.05
78,19826.91,3.32
79,25367.28,3.91
80,21647.87,4.17
81,20520.2,3.93
82,26760.6,4.02
83,22548.11,3.59
84,26114.82,3.81
85,21988.01,4.26
86,24345.65,3.8
87,22142.57,4.33
88,28799.64,3.81
89,22788.11,4.36
90,21558.92,4.01
91,30721.34,3.41
92,22914.1,3.96
93,22019.33,4.11
94,24107.3,4.01
95,24085.82,3.76
96,26376.14,2.85
97,24864.27,3.97
98,23048.86,4.11
99,26094.65,2.99
100,22890.88,4.01
101,25764.61,3.95
102,21867.0,4.21
103,24434.68,4.14
104,24058.11,3.64
105,25307.97,3.14
106,23191.77,3.98
107,24581.31,3.34
108,20699.15,3.04
109,23545.26,4.02
110,26138.75,4.25
111,22749.88,3.57
112,22809.97,4.08
113,22951.95,3.89
114,22825.31,3.75
115,20368.04,3.91
116,22506.27,3.75
117,20639.62,4.15
118,22673.21,4.01
119,22781.63,3.87
120,25601.74,3.35
121,22719.5,3.75
122,23645.8,3.46
123,25550.1,3.6
124,23509.88,3.82
125,21332.37,4.07
126,22789.7,3.93
127,20493.03,3.77
128,24219.74,4.06
129,23612.77,4.24
130,21953.17,3.59
131,22737.69,3.89
132,23285.4,3.5
133,22036.97,3.96
134,26029.81,3.64
135,27453.13,4.35
136,21273.54,3.58
137,25794.12,3.97
138,20614.03,3.43
139,24758.16,3.64
140,22153.55,4.16
141,27956.45,4.32
